City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Keti Bandar,PK,24.1447,67.4497,28.37,63,90,5.73,overcast clouds
330,Antsohihy,MG,-14.8796,47.9875,25.72,46,0,6.42,clear sky
331,Watsa,CD,3.0372,29.5355,19.77,95,16,1.23,light rain
332,Makakilo City,US,21.3469,-158.0858,25.18,85,0,2.06,clear sky
333,Southbridge,US,42.0751,-72.0334,18.92,79,100,3.13,overcast clouds
334,Kazachinskoye,RU,57.6953,93.2761,1.97,86,100,2.06,overcast clouds
335,Barra Do Garcas,BR,-15.89,-52.2567,32.32,51,0,6.69,clear sky
336,Okakarara,NA,-20.5833,17.4333,32.87,13,76,6.62,broken clouds
337,Kenai,US,60.5544,-151.2583,5.64,96,100,2.06,light rain
338,Havre,FR,49.5833,0.3333,17.33,63,20,4.12,few clouds
339,Tommot,RU,58.9564,126.2925,-1.15,93,40,1.49,scattered clouds
340,Suzun,RU,53.7841,82.3116,10.73,78,100,4.5,overcast clouds
341,Tilichiki,RU,60.4667,166.1,1.12,83,100,3.26,overcast clouds
342,Gimli,CA,50.6336,-96.9907,13.01,67,5,6.17,clear sky
343,Mormugao,IN,15.4,73.8,26.59,78,40,2.57,scattered clouds
344,Angoche,MZ,-16.2325,39.9086,25.05,77,38,5.22,scattered clouds
