City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Havre,FR,17.33,few clouds,49.5833,0.3333,gite bois jourdain
340,Suzun,RU,10.73,overcast clouds,53.7841,82.3116,Akhpkhakhakhakha
342,Gimli,CA,13.01,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
346,Collie,AU,6.86,clear sky,-33.3667,116.15,Collie Ridge
347,Tigil,RU,5.01,light rain,57.8,158.6667,Tigil'
351,Cidreira,BR,17.98,overcast clouds,-30.1811,-50.2056,Hotel Castelo
353,Rawson,AR,15.15,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
354,Iwanai,JP,14.07,overcast clouds,42.9744,140.5089,いわない高原ホテル
356,Lasa,IT,15.49,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
357,Batemans Bay,AU,12.68,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
359,Yulara,AU,19.28,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
360,Skelleftea,SE,11.2,scattered clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
362,Zhangjiakou,CN,15.56,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
363,Chuy,UY,17.83,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
364,Wellington,NZ,5.03,overcast clouds,-41.2866,174.7756,CityLife Wellington
367,Dauphin,CA,12.08,clear sky,51.1494,-100.0502,Canway Inn & Suites
369,Sioux Lookout,CA,13.04,light intensity shower rain,50.1001,-91.917,Knobby's Fly-In Camps
371,Moranbah,AU,19.66,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
372,Fernley,US,19.34,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
375,Esperance,AU,13.15,scattered clouds,-33.8667,121.9,Hospitality Esperance
379,Anchorage,US,7.6,mist,61.2181,-149.9003,Hotel Captain Cook
381,Kabanjahe,ID,17.88,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
383,Ahipara,NZ,14.25,light rain,-35.1667,173.1667,Ahipara Holiday Park
385,Olafsvik,IS,8.16,clear sky,64.8945,-23.7142,Hotel Olafsvik
386,Zhangye,CN,17.2,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
389,Appenzell,CH,12.59,light rain,47.331,9.41,Café-Hotel Appenzell
390,Genc,TR,18.15,clear sky,38.7507,40.5603,Genc Ogretmenevi
391,Gaoyou,CN,19.68,overcast clouds,32.7858,119.4278,如家快捷酒店
392,Pisco,PE,18.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
401,Broken Hill,AU,19.22,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
405,Bogorodskoye,RU,6.68,overcast clouds,56.55,37.8833,Sosnoviy Bor
408,San Luis,AR,13.56,overcast clouds,-33.295,-66.3356,Huarpes Hotel
413,Carnarvon,AU,18.18,clear sky,-24.8667,113.6333,Hospitality Carnarvon
414,Klaksvik,FO,9.51,light rain,62.2266,-6.589,Airbnb rooms
415,Ayr,GB,14.17,broken clouds,55.4627,-4.6339,Mercure Ayr Hotel
418,Mount Gambier,AU,9.58,light rain,-37.8333,140.7667,The Commodore
421,Guangyuan,CN,16.97,scattered clouds,32.442,105.823,Guangyuan Poetry Hotel
430,Sept-Iles,CA,13.92,few clouds,50.2001,-66.3821,Comfort Inn
